growing.area,two.week.holding.temp,size.potato,storage.period,cooking.method,texture.score,flavor.score,moistness.score
Southern OR,75F,Large,0 months,Boil,2.9,3.2,3
Southern OR,75F,Large,0 months,Steam,2.3,2.5,2.6
Southern OR,75F,Large,0 months,Mash,2.5,2.8,2.8
Southern OR,75F,Large,0 months,Bake at 350,2.1,2.9,2.4
Southern OR,75F,Large,0 months,Bake at 450,1.9,2.8,2.2
Southern OR,75F,Large,2 months,Boil,1.8,3,1.7
Southern OR,75F,Large,2 months,Steam,2.6,3.1,2.4
Southern OR,75F,Large,2 months,Mash,3,3,2.9
Southern OR,75F,Large,2 months,Bake at 350,2.2,3.2,2.5
Southern OR,75F,Large,2 months,Bake at 450,2,2.8,1.9
Southern OR,75F,Large,4 months,Boil,1.8,2.6,1.5
Southern OR,75F,Large,4 months,Steam,2,2.8,1.9
Southern OR,75F,Large,4 months,Mash,2.6,2.6,2.6
Southern OR,75F,Large,4 months,Bake at 350,2.1,3.2,2.1
Southern OR,75F,Large,4 months,Bake at 450,2.5,3,2.1
Southern OR,75F,Large,6 months,Boil,2.6,3.1,2.4
Southern OR,75F,Large,6 months,Steam,2.7,2.9,2.4
Southern OR,75F,Large,6 months,Mash,2.2,3.1,2.3
Southern OR,75F,Large,6 months,Bake at 350,3.1,3.4,2.7
Southern OR,75F,Large,6 months,Bake at 450,3,2.6,2.7
Southern OR,75F,Medium,0 months,Boil,3.1,3,2.8
Southern OR,75F,Medium,0 months,Steam,2.7,2.8,2.7
Southern OR,75F,Medium,0 months,Mash,2.4,3,2.9
Southern OR,75F,Medium,0 months,Bake at 350,2.2,2.9,2.3
Southern OR,75F,Medium,0 months,Bake at 450,1.9,2.9,2
Southern OR,75F,Medium,2 months,Boil,1.8,2.6,1.8
Southern OR,75F,Medium,2 months,Steam,2.2,2.9,2.1
Southern OR,75F,Medium,2 months,Mash,2.8,3.2,2.8
Southern OR,75F,Medium,2 months,Bake at 350,2.3,3.2,2.4
Southern OR,75F,Medium,2 months,Bake at 450,2,3,2
Southern OR,75F,Medium,4 months,Boil,1.9,3,1.8
Southern OR,75F,Medium,4 months,Steam,1.8,2.7,1.8
Southern OR,75F,Medium,4 months,Mash,3.3,3.2,3.2
Southern OR,75F,Medium,4 months,Bake at 350,2.5,3.1,2.2
Southern OR,75F,Medium,4 months,Bake at 450,2.5,3.4,2.3
Southern OR,75F,Medium,6 months,Boil,1.5,2.6,1.3
Southern OR,75F,Medium,6 months,Steam,1.4,2.6,1.3
Southern OR,75F,Medium,6 months,Mash,2.1,2.5,2
Southern OR,75F,Medium,6 months,Bake at 350,1.8,3.1,1.7
Southern OR,75F,Medium,6 months,Bake at 450,1.7,2.7,1.7
Southern OR,40F,Large,0 months,Boil,2.8,2.6,3
Southern OR,40F,Large,0 months,Steam,2.5,2.4,2.8
Southern OR,40F,Large,0 months,Mash,3.2,2.7,3.2
Southern OR,40F,Large,0 months,Bake at 350,2.4,2.4,2.6
Southern OR,40F,Large,0 months,Bake at 450,2,2.5,2.2
Southern OR,40F,Large,2 months,Boil,2.3,2.9,1.9
Southern OR,40F,Large,2 months,Steam,2.8,2.7,2.5
Southern OR,40F,Large,2 months,Mash,3.7,3.3,3.1
Southern OR,40F,Large,2 months,Bake at 350,2.8,2.7,2.5
Southern OR,40F,Large,2 months,Bake at 450,2.6,2.6,2.3
Southern OR,40F,Large,4 months,Boil,2.4,2.7,2
Southern OR,40F,Large,4 months,Steam,2.7,2.5,2.1
Southern OR,40F,Large,4 months,Mash,2.7,2.9,2.7
Southern OR,40F,Large,4 months,Bake at 350,2.6,2.8,2.2
Southern OR,40F,Large,4 months,Bake at 450,2.6,2.8,1.8
Southern OR,40F,Large,6 months,Boil,3,3.2,2.4
Southern OR,40F,Large,6 months,Steam,3.1,3.1,2.8
Southern OR,40F,Large,6 months,Mash,3.6,3,3.3
Southern OR,40F,Large,6 months,Bake at 350,3.4,3.4,2.9
Southern OR,40F,Large,6 months,Bake at 450,2.7,3,2.6
Southern OR,40F,Medium,0 months,Boil,2.2,2.6,2.6
Southern OR,40F,Medium,0 months,Steam,2.3,2.3,2.4
Southern OR,40F,Medium,0 months,Mash,2.7,2.6,2.7
Southern OR,40F,Medium,0 months,Bake at 350,2,2.5,2
Southern OR,40F,Medium,0 months,Bake at 450,1.4,2.4,1.7
Southern OR,40F,Medium,2 months,Boil,2.5,2.6,1.9
Southern OR,40F,Medium,2 months,Steam,3.2,2.9,2.9
Southern OR,40F,Medium,2 months,Mash,3,3.1,1.9
Southern OR,40F,Medium,2 months,Bake at 350,2.6,2.8,2.7
Southern OR,40F,Medium,2 months,Bake at 450,2.6,3.1,2.2
Southern OR,40F,Medium,4 months,Boil,2.4,3,2.2
Southern OR,40F,Medium,4 months,Steam,2.8,2.8,2.5
Southern OR,40F,Medium,4 months,Mash,3.3,3.1,3.1
Southern OR,40F,Medium,4 months,Bake at 350,2.8,3.1,2.6
Southern OR,40F,Medium,4 months,Bake at 450,2.9,2.9,2.4
Southern OR,40F,Medium,6 months,Boil,1.4,2.9,1.4
Southern OR,40F,Medium,6 months,Steam,2.1,2.5,1.6
Southern OR,40F,Medium,6 months,Mash,2.3,2.6,1.8
Southern OR,40F,Medium,6 months,Bake at 350,1.8,2.9,1.6
Southern OR,40F,Medium,6 months,Bake at 450,1.5,2.4,1.5
Central OR,75F,Large,0 months,Boil,2.5,2.7,2.6
Central OR,75F,Large,0 months,Steam,2.8,2.9,2.7
Central OR,75F,Large,0 months,Mash,2.2,3,3
Central OR,75F,Large,0 months,Bake at 350,2.5,3.1,2.4
Central OR,75F,Large,0 months,Bake at 450,2.7,3,2.3
Central OR,75F,Large,2 months,Boil,2.7,2.8,2.4
Central OR,75F,Large,2 months,Steam,2.5,2.9,2.6
Central OR,75F,Large,2 months,Mash,1.6,3.1,1.8
Central OR,75F,Large,2 months,Bake at 350,2.5,3.2,2.3
Central OR,75F,Large,2 months,Bake at 450,2.5,2.9,2.5
Central OR,75F,Large,4 months,Boil,2.2,2.8,2.3
Central OR,75F,Large,4 months,Steam,2.4,2.9,2.1
Central OR,75F,Large,4 months,Mash,2.2,3.1,2.3
Central OR,75F,Large,4 months,Bake at 350,3.1,3.1,2.6
Central OR,75F,Large,4 months,Bake at 450,2.9,3.3,2.8
Central OR,75F,Large,6 months,Boil,2.4,3.4,2.4
Central OR,75F,Large,6 months,Steam,3.1,3.1,2.7
Central OR,75F,Large,6 months,Mash,2.3,3.2,2.5
Central OR,75F,Large,6 months,Bake at 350,3.2,3.5,3.1
Central OR,75F,Large,6 months,Bake at 450,2.9,2.7,2.7
Central OR,75F,Medium,0 months,Boil,2.6,3.3,2.6
Central OR,75F,Medium,0 months,Steam,2.7,3,2.7
Central OR,75F,Medium,0 months,Mash,2.5,2.9,2.7
Central OR,75F,Medium,0 months,Bake at 350,2.4,3,2.5
Central OR,75F,Medium,0 months,Bake at 450,2,2.9,2.1
Central OR,75F,Medium,2 months,Boil,2,3,1.9
Central OR,75F,Medium,2 months,Steam,2.3,3.1,2.3
Central OR,75F,Medium,2 months,Mash,1.7,3.1,2.4
Central OR,75F,Medium,2 months,Bake at 350,2.6,3.1,2.5
Central OR,75F,Medium,2 months,Bake at 450,2.2,2.9,2.1
Central OR,75F,Medium,4 months,Boil,1.7,3.2,1.5
Central OR,75F,Medium,4 months,Steam,2.2,3.2,2
Central OR,75F,Medium,4 months,Mash,1.7,3.1,2
Central OR,75F,Medium,4 months,Bake at 350,2.8,3.2,2.7
Central OR,75F,Medium,4 months,Bake at 450,2.6,3.3,2.6
Central OR,75F,Medium,6 months,Boil,2,3.5,2.2
Central OR,75F,Medium,6 months,Steam,1.8,3,2
Central OR,75F,Medium,6 months,Mash,1.6,3.4,2.1
Central OR,75F,Medium,6 months,Bake at 350,2.8,3.3,2.6
Central OR,75F,Medium,6 months,Bake at 450,2.7,2.3,2.6
Central OR,40F,Large,0 months,Boil,2.8,2.6,2.5
Central OR,40F,Large,0 months,Steam,2.9,2,2.7
Central OR,40F,Large,0 months,Mash,3,2.7,2.9
Central OR,40F,Large,0 months,Bake at 350,2.6,3,2.5
Central OR,40F,Large,0 months,Bake at 450,2.8,2.2,2.6
Central OR,40F,Large,2 months,Boil,3.4,3.2,2.8
Central OR,40F,Large,2 months,Steam,3.5,2.9,3
Central OR,40F,Large,2 months,Mash,2.6,2.8,2.5
Central OR,40F,Large,2 months,Bake at 350,3.3,3,3.1
Central OR,40F,Large,2 months,Bake at 450,2,2.8,2.5
Central OR,40F,Large,4 months,Boil,2.8,2.8,2.6
Central OR,40F,Large,4 months,Steam,3.5,2.8,3
Central OR,40F,Large,4 months,Mash,2.5,3.2,2.3
Central OR,40F,Large,4 months,Bake at 350,3.3,3,2.7
Central OR,40F,Large,4 months,Bake at 450,3.5,2.9,2.9
Central OR,40F,Large,6 months,Boil,3.2,3.4,2.5
Central OR,40F,Large,6 months,Steam,3.3,2.8,2.8
Central OR,40F,Large,6 months,Mash,3,3,2.8
Central OR,40F,Large,6 months,Bake at 350,3.5,3.2,3.1
Central OR,40F,Large,6 months,Bake at 450,3.4,3,2.8
Central OR,40F,Medium,0 months,Boil,2.7,2.5,2.5
Central OR,40F,Medium,0 months,Steam,2.5,2.7,2.3
Central OR,40F,Medium,0 months,Mash,3.2,2.7,3
Central OR,40F,Medium,0 months,Bake at 350,2.4,2.7,2.5
Central OR,40F,Medium,0 months,Bake at 450,2.7,2.1,2.3
Central OR,40F,Medium,2 months,Boil,2.2,2.7,2.3
Central OR,40F,Medium,2 months,Steam,3.1,2.9,2.6
Central OR,40F,Medium,2 months,Mash,2.2,2.8,3.1
Central OR,40F,Medium,2 months,Bake at 350,2.9,3,2.7
Central OR,40F,Medium,2 months,Bake at 450,2.8,2.7,2.6
Central OR,40F,Medium,4 months,Boil,2.5,3.2,2.3
Central OR,40F,Medium,4 months,Steam,2.9,3.3,2.7
Central OR,40F,Medium,4 months,Mash,2.5,3.1,2.5
Central OR,40F,Medium,4 months,Bake at 350,3,2.9,2.5
Central OR,40F,Medium,4 months,Bake at 450,2.9,3.1,3.1
Central OR,40F,Medium,6 months,Boil,2.7,3.3,2.6
Central OR,40F,Medium,6 months,Steam,2.6,2.8,2.3
Central OR,40F,Medium,6 months,Mash,2.5,3.1,2.6
Central OR,40F,Medium,6 months,Bake at 350,3.4,3.3,3
Central OR,40F,Medium,6 months,Bake at 450,2.5,2.8,2.3
