Mes,Juego de tronos
2004-01,1
2004-02,1
2004-03,1
2004-04,1
2004-05,1
2004-06,1
2004-07,1
2004-08,1
2004-09,1
2004-10,1
2004-11,1
2004-12,1
2005-01,1
2005-02,1
2005-03,1
2005-04,1
2005-05,1
2005-06,1
2005-07,1
2005-08,1
2005-09,1
2005-10,1
2005-11,1
2005-12,1
2006-01,1
2006-02,1
2006-03,1
2006-04,1
2006-05,1
2006-06,1
2006-07,1
2006-08,1
2006-09,1
2006-10,1
2006-11,1
2006-12,1
2007-01,1
2007-02,1
2007-03,1
2007-04,1
2007-05,1
2007-06,1
2007-07,1
2007-08,1
2007-09,1
2007-10,1
2007-11,1
2007-12,1
2008-01,1
2008-02,1
2008-03,1
2008-04,1
2008-05,1
2008-06,1
2008-07,1
2008-08,1
2008-09,1
2008-10,1
2008-11,1
2008-12,1
2009-01,1
2009-02,1
2009-03,1
2009-04,1
2009-05,1
2009-06,1
2009-07,1
2009-08,1
2009-09,1
2009-10,1
2009-11,1
2009-12,1
2010-01,1
2010-02,1
2010-03,1
2010-04,1
2010-05,1
2010-06,1
2010-07,1
2010-08,1
2010-09,1
2010-10,1
2010-11,1
2010-12,1
2011-01,1
2011-02,1
2011-03,1
2011-04,6
2011-05,9
2011-06,13
2011-07,8
2011-08,6
2011-09,6
2011-10,5
2011-11,5
2011-12,6
2012-01,6
2012-02,5
2012-03,9
2012-04,21
2012-05,20
2012-06,18
2012-07,11
2012-08,8
2012-09,7
2012-10,6
2012-11,5
2012-12,6
2013-01,7
2013-02,8
2013-03,13
2013-04,27
2013-05,25
2013-06,32
2013-07,14
2013-08,11
2013-09,9
2013-10,8
2013-11,8
2013-12,9
2014-01,12
2014-02,12
2014-03,14
2014-04,45
2014-05,38
2014-06,43
2014-07,18
2014-08,13
2014-09,10
2014-10,10
2014-11,9
2014-12,11
2015-01,12
2015-02,12
2015-03,14
2015-04,39
2015-05,34
2015-06,49
2015-07,19
2015-08,14
2015-09,12
2015-10,10
2015-11,10
2015-12,11
2016-01,11
2016-02,11
2016-03,13
2016-04,33
2016-05,58
2016-06,62
2016-07,27
2016-08,14
2016-09,12
2016-10,10
2016-11,10
2016-12,11
2017-01,12
2017-02,10
2017-03,11
2017-04,11
2017-05,12
2017-06,15
2017-07,60
2017-08,100
2017-09,30
2017-10,15
2017-11,11
2017-12,12
2018-01,12
2018-02,10
2018-03,9
2018-04,8
2018-05,8
2018-06,9
2018-07,10
2018-08,10
2018-09,9
2018-10,8
2018-11,9
2018-12,10
2019-01,14
2019-02,13
2019-03,21
2019-04,95
2019-05,92
2019-06,17
2019-07,10
2019-08,8
2019-09,7
2019-10,6
2019-11,6
2019-12,7
2020-01,6
2020-02,5
2020-03,6
2020-04,8
2020-05,7
2020-06,6
2020-07,6
